                                      Part Name  Count  Percentage
                                       brcket 1      1        0.04
                              garnish rad grill      1        0.04
                                covrear splashr      1        0.04
                                   guard assyrr      1        0.04
                               bezel fog lamp r      1        0.04
                             mounting engine rr      1        0.04
                                     glass comp      1        0.04
                       holder fr bumper side lh      1        0.04
                         bearing clutch release      1        0.04
                    radiator cooling fan shroud      1        0.04
                                    lining clip      1        0.04
                    outer handle door rear left      1        0.04
                       bar compfront stabilizer      1        0.04
                      wheel rim steel rear left      1        0.04
                      grille fr bumper lower lh      1        0.04
                      cover compfr bumper lower      1        0.04
                           hose deg tank outlet      1        0.04
                        spoiler back door black      1        0.04
                             liningfront fender      1        0.04
                     cylinder assy clutch slave      1        0.04
                       panel roof side outer lh      1        0.04
                              trim comptail end      1        0.04
                                       air duct      1        0.04
                      panel fr pillar inr up rh      1        0.04
                                     dg sealant      1        0.04
                             bracelamp supportr      1        0.04
                         arm assy fr suspension      1        0.04
                        tape rear dr outer rr l      1        0.04
                    emblemlogo rear right top 2      1        0.04
                            barfront stabilizer      1        0.04
                            glass qtr window rh      1        0.04
                      memberapron side outer lh      1        0.04
                                      panelroof      1        0.04
                                 mountingeng lh      1        0.04
                                brace comp lock      1        0.04
                       lining compfront fenderr      1        0.04
                                        sealant      1        0.04
                                  hinge comp rh      1        0.04
                         inner upper panel left      1        0.04
            glass quarter fixed rear door right      1        0.04
                                    panel front      1        0.04
                     absorber compfr bmpr lower      1        0.04
                          garnish comp cowl top      1        0.04
                                front end lower      1        0.04
                       panel comprr lamp housel      1        0.04
                    tape rear door outer upr rh      1        0.04
                                 thrmostate cap      1        0.04
                  garnish assyback door license      1        0.04
                                         hinges      1        0.04
                             panel unit auto ac      1        0.04
                                  holder bumper      1        0.04
                             sash fr door rr lh      1        0.04
                               wheelhouse fr rh      1        0.04
             cabin floor under guard cover left      1        0.04
                           glassrear partitionr      1        0.04
                                           horn      1        0.04
                                        a c can      1        0.04
                            reinf ctr pillar rh      1        0.04
                          sashrr door window lh      1        0.04
                            brace comphood lock      1        0.04
                          right engine mounting      1        0.04
                           unit lamp front turn      1        0.04
                                brkt eng lh mtg      1        0.04
                               knuckle setstrgl      1        0.04
                            bezel fr fog lamp r      1        0.04
                                holderfr siderh      1        0.04
                               wire driver door      1        0.04
                                 arm assy wiper      1        0.04
                         cshion back door lower      1        0.04
                             bumper front black      1        0.04
                    bumper moulding front right      1        0.04
                                alto 800 emblem      1        0.04
                       membercowl side outer lh      1        0.04
        cladding running boardgusset panel left      1        0.04
                weatherstrip front door inner l      1        0.04
                           panel compfront hood      1        0.04
                             covfront end lower      1        0.04
                                  liningfront r      1        0.04
                                    damper left      1        0.04
                            member front bumper      1        0.04
                         garnishfront fog lampl      1        0.04
                             hinge comp hood lh      1        0.04
                                towing hook cap      1        0.04
                                  trim rear qtr      1        0.04
                          cable parking brake l      1        0.04
                             lining fender fr r      1        0.04
                          coolant golden yellow      1        0.04
                             bezelfr fog lamprh      1        0.04
                            multi air disc p320      1        0.04
                                  lining fdr lh      1        0.04
                          hinge comp front hd l      1        0.04
                    decal side strip lh 3 parts      1        0.04
                             grill bumper upper      1        0.04
                            member strg support      1        0.04
                                         ac gas      1        0.04
                         bezel front fog lamp r      1        0.04
                              hinge comp frt lh      1        0.04
                           opener comp fuel lid      1        0.04
                                      fender lh      1        0.04
                                      hinges lh      1        0.04
                     glass compfront dr windowr      1        0.04
                         panel comprr whl house      1        0.04
                          brace lamp support rh      1        0.04
                        member  comp hood  lock      1        0.04
                                 mbr frt bumper      1        0.04
                              bezal fog lamp lh      1        0.04
                          bracket engine mtg lh      1        0.04
                         trim rear door opening      1        0.04
                              bezelfr fog lampl      1        0.04
                                seat belt right      1        0.04
                    total loss basis settlement      1        0.04
         weatherstrip assembly door front right      1        0.04
                             charger assy turbo      1        0.04
                                  sensor oxygen      1        0.04
                        glassfront door windowl      1        0.04
                                          guard      1        0.04
                          balancer back door rh      1        0.04
                            panel assyfront end      1        0.04
 retainer assembly rear bumper cover mounting 1      1        0.04
                                hoserdtr outlet      1        0.04
                            rh front door hinge      1        0.04
                          strut setfront spnsnr      1        0.04
                                  frt fog lamps      1        0.04
                         cover strg column hole      1        0.04
                                silencer bonnet      1        0.04
                         tank assywater reserve      1        0.04
                         guard side sill splash      1        0.04
                           gasket liquid engine      1        0.04
                guard assly rr fender splash rh      1        0.04
                          hinge frt door upr rh      1        0.04
                       bumper under guard cover      1        0.04
                        panel side body outer r      1        0.04
                                      brake oil      1        0.04
                        front door glass run rh      1        0.04
                                          sleep      1        0.04
                         glass out rear view rh      1        0.04
                                   auto ac unit      1        0.04
                                   rh rear door      1        0.04
                    mountradiator support lower      1        0.04
                     lamp assy side turn signal      1        0.04
                                sensor assy cmp      1        0.04
                                  strut front r      1        0.04
                                   cvt oil sump      1        0.04
                          frame assy fr cush lh      1        0.04
                            bearing input shaft      1        0.04
                               alloy wheel grey      1        0.04
                   outer handle door front left      1        0.04
                       wheel housing rear right      1        0.04
                             sash rear door lhs      1        0.04
                        lining compfront fender      1        0.04
                         garnish fog light left      1        0.04
                                pump assy front      1        0.04
                                       urethane      1        0.04
                              pan main floor lh      1        0.04
                                doorfuel filler      1        0.04
                     weatherstriprear door outl      1        0.04
                     glass comp backdoor window      1        0.04
                              sensor assy speed      1        0.04
                                  rh tail light      1        0.04
                                       holderfr      1        0.04
                        trim compquarter upperr      1        0.04
                         shaft assyfront drivel      1        0.04
                            glass rr door rh lh      1        0.04
                   switch assy wiper and washer      1        0.04
                               oringoil gallery      1        0.04
                          hose fuel tank filler      1        0.04
                                nut drive shaft      1        0.04
                         skid plate bumper rear      1        0.04
                          arm comp rr dr upr lh      1        0.04
                        emblemlogo fender right      1        0.04
                             pipe air clnr suct      1        0.04
                      weatherstriprear dr opngl      1        0.04
                    link wiper front windshield      1        0.04
                                fan assycooling      1        0.04
                           glass set windshield      1        0.04
                       door moulding front left      1        0.04
                             module assy airbag      1        0.04
                           coverfront end lower      1        0.04
                            hose radiator inlet      1        0.04
                                         clips5      1        0.04
                                case blower box      1        0.04
                            bracket rear bumper      1        0.04
                               lamp assy fr fog      1        0.04
                          pipe comp water floor      1        0.04
                            skrit rr air dam lh      1        0.04
                            tape fr pillar rr l      1        0.04
                     garnish compcowl top sidel      1        0.04
                          garnish rr qtr otr lh      1        0.04
                                       holderrr      1        0.04
                              bezel fog lamp rh      1        0.04
                          front fog lampyn4 ins      1        0.04
                        garnishfront fog lamprh      1        0.04
                                         covers      1        0.04
                                       liner rh      1        0.04
                             butyl sealing tape      1        0.04
                                      bezel rhs      1        0.04
                                absorber compfr      1        0.04
    wiper blade front windshield passenger side      1        0.04
                                    crossmember      1        0.04
                      guard side sill splash rh      1        0.04
                                            cip      1        0.04
               sealant front windshield glass 3      1        0.04
                                    traybattery      1        0.04
                                 hoserdtr inlet      1        0.04
                               unit headlamp lh      1        0.04
                                  graphicas set      1        0.04
                            cover cylinder head      1        0.04
                    arm assy front suspension l      1        0.04
                           wheel compal16x6 12j      1        0.04
                                          clips      1        0.04
                     reinf rr wheel house fr rh      1        0.04
                         link stabilizer bar rh      1        0.04
                     pipe  ma sec to fr bk hose      1        0.04
                     grille radiator lowerblack      1        0.04
                              unit head lamp lh      1        0.04
                                 extension assy      1        0.04
                       silencer comp front hood      1        0.04
                           run frt door glass r      1        0.04
                  cylinder assyclutch operating      1        0.04
                              emblem vvt chrome      1        0.04
                       cover engine under sider      1        0.04
                       decalside stripe rr qtrr      1        0.04
                                         stop 1      1        0.04
                                   exhaust pipe      1        0.04
                      guard assyrr bumper sidel      1        0.04
                         tail light right dicky      1        0.04
                                     filter oil      1        0.04
                                     motor assy      1        0.04
         weatherstrip rear door belt inner left      1        0.04
                                        coolent      1        0.04
                             silencerengine no1      1        0.04
                 hoseradiator oulet no1lx  vxmt      1        0.04
                               shroudair intake      1        0.04
                                 amazer 3g tyre      1        0.04
                   steering column cover bottom      1        0.04
                                 paint material      1        0.04
                                    emblem rear      1        0.04
                                   emblemertiga      1        0.04
                             striker door latch      1        0.04
                                 rh mirror assy      1        0.04
                        granish grille upper rh      1        0.04
                     glass compback door window      1        0.04
                         control arm shaft left      1        0.04
                                wheel comp14x5j      1        0.04
                        holder fr bumper side r      1        0.04
                           cover engine under l      1        0.04
                                  mbr fr bumper      1        0.04
                           fender deck rear no2      1        0.04
                      a pillar front inner left      1        0.04
                              garnish cowltop l      1        0.04
                    engine cover right and left      1        0.04
        door rear view mirror glass outer right      1        0.04
                    garnishradiator grille uprl      1        0.04
                               crossmember assy      1        0.04
                parcel tray luggage compartment      1        0.04
                               antenna assembly      1        0.04
                     emblemlogo rear left top 1      1        0.04
                      weather stripe f rdoor rh      1        0.04
                             belt assy front lh      1        0.04
                                  net front bum      1        0.04
                bumper reinforcement rear right      1        0.04
                             emblembalenochrome      1        0.04
                          muffler assembly main      1        0.04
                             cable contact coil      1        0.04
                   arm assy front spnsn control      1        0.04
                         holderfr bumper sidelh      1        0.04
                         memberradiator support      1        0.04
                         garnishfr bumper sider      1        0.04
                reinforcement comp dash side lh      1        0.04
                             tank water reserve      1        0.04
                               holderspare tire      1        0.04
                              grommetfront hood      1        0.04
                           emblem maruti suzuki      1        0.04
                               windshield glass      1        0.04
                       bezeldoor inside handler      1        0.04
                          strut assyfront spnsn      1        0.04
                  hub assembly front left wheel      1        0.04
                       pipe air cleaner suction      1        0.04
                        cover comp engine under      1        0.04
                            bolt frt hood hinge      1        0.04
                             panelrear floor rr      1        0.04
                                   tie rod strg      1        0.04
                          extensionapron frontr      1        0.04
                                  belt assyfrlh      1        0.04
                             cable spark plug 1      1        0.04
                     mirror assyout rear viewlh      1        0.04
                               tyre front right      1        0.04
                        head light support left      1        0.04
                                lining fender r      1        0.04
                        adjuster assy tensioner      1        0.04
                        decalside stripe fr drr      1        0.04
                     bezel front fog lamp right      1        0.04
                                       mud flap      1        0.04
                                    under cover      1        0.04
              bracket radiator support upper lh      1        0.04
                                          motor      1        0.04
                       holderfr bumper frontr r      1        0.04
                                      tail gate      1        0.04
                         horn assy high pitched      1        0.04
                    emblem maruti suzuki chrome      1        0.04
                     bezel fr fog lamp lh black      1        0.04
                               cap front bumper      1        0.04
                                  panel aplr lh      1        0.04
                                    sealent set      1        0.04
                              holder fr side rh      1        0.04
                                   latch comphd      1        0.04
                     member apron side outer rh      1        0.04
                             holder front sides      1        0.04
                                         gasket      1        0.04
                           trim front pillar lh      1        0.04
                             head lamp  assy rh      1        0.04
                            thermostat assembly      1        0.04
                              reinf roof side l      1        0.04
                               actuator assyesp      1        0.04
                                roof molding lh      1        0.04
                           strikerglove box lid      1        0.04
                         panel compdash side rh      1        0.04
                             panel fr fender lh      1        0.04
                    guard assyfr fender splashl      1        0.04
                   garnishradiator upper grille      1        0.04
                            windshield moulding      1        0.04
                      ac condenser fan assembly      1        0.04
                            wheel sassysteering      1        0.04
                        arm assy frt suspension      1        0.04
                           emblem ertiga chrome      1        0.04
                             cap assywheel full      1        0.04
                                   guide grille      1        0.04
                     lining comp front fender r      1        0.04
                         cvr front end upper lh      1        0.04
                         taperear dr outer rrlh      1        0.04
                             mirror assy out rh      1        0.04
                         extension assyfr bpr l      1        0.04
                             support strut left      1        0.04
                   cover  fr fog lamp  bezel lh      1        0.04
                                   emblem swift      1        0.04
                              bumper frontblack      1        0.04
                           outlet ventilator 02      1        0.04
                                    emblem omni      1        0.04
                              accelerator pedal      1        0.04
              corner panel assembly front right      1        0.04
                         garnishfr bumper sidel      1        0.04
                      strength comp side sill l      1        0.04
                           valve canister purge      1        0.04
                          brkt radiator support      1        0.04
                                   spark plug 1      1        0.04
                      garnish rdtr upper grille      1        0.04
                           memberroof ctr inner      1        0.04
                     garnish front bumper lower      1        0.04
                                      fog lamps      1        0.04
                   member comp steering support      1        0.04
                        panelwheel house outerr      1        0.04
                         trim ctr pillar lowerl      1        0.04
                         hinge comp trunk lid l      1        0.04
                              bumper rear right      1        0.04
                         handle front dr out lh      1        0.04
                           stop door open front      1        0.04
quarter panel wheel well liningguardcover right      1        0.04
                     springrelease shaft return      1        0.04
                                    tail lamp l      1        0.04
                                          clip1      1        0.04
                                    lh strut fr      1        0.04
                  reinf comp front door hinge l      1        0.04
                        holder rr bumper side l      1        0.04
                                 cover arm head      1        0.04
                          panel instrument main      1        0.04
                        garnish cowl top side l      1        0.04
                                  seal cs front      1        0.04
                                lining comproof      1        0.04
                                gasketintk manf      1        0.04
                       panel compfender apron r      1        0.04
                             front grille upper      1        0.04
                        member steering support      1        0.04
                        garnish back door lower      1        0.04
                                     hoseliquid      1        0.04
                  dg sealant set without primer      1        0.04
                            lining fr fender rh      1        0.04
                                     latch assy      1        0.04
                                      member fr      1        0.04
                                  impact sensor      1        0.04
                              cooler comp inter      1        0.04
                                      bumper fr      1        0.04
                              socket  cord assy      1        0.04
                  constructive total loss basis      1        0.04
                         member compfront sider      1        0.04
                            hinge front hood lh      1        0.04
                      dash upper crossmember rh      1        0.04
                                    glass latch      1        0.04
                              holder fr side lh      1        0.04
                         lining front fender lh      1        0.04
                  bush stabilizer bar support 1      1        0.04
                                   pipe comp eh      1        0.04
                        strength compside silll      1        0.04
                                  bumper member      1        0.04
                         torsion dead axle rear      1        0.04
                            cap assy wheel full      1        0.04
                                          lower      1        0.04
                                       s emblem      1        0.04
                 emblemlogo rear right bottom 1      1        0.04
                              tankwater reserve      1        0.04
                                sensor assypark      1        0.04
                         cable assycontact coil      1        0.04
                            joint stablizer bar      1        0.04
                              grille assy lower      1        0.04
